merchant_name,merchant_category,amount,is_recurring,user_balance_pre,hour,day_of_week,label_category_enc,label_urgency_enc
52,1,1251.04,0,11940.67,11,3,0,0
42,6,662.14,0,12134.44,23,5,1,1
22,10,905.18,1,5587.13,1,2,2,2
19,9,743.32,0,11131.54,14,0,0,0
25,10,2006.61,1,10798.46,21,0,2,2
1,14,215.77,0,18751.2,23,5,0,0
5,7,691.21,0,9643.73,20,6,1,1
41,14,1289.69,0,10427.42,20,5,0,0
27,10,1500.42,1,7324.18,9,5,2,2
36,13,744.33,0,6965.74,3,6,0,0
47,9,887.35,0,15145.44,4,5,0,0
9,6,558.49,0,17129.36,14,4,1,1
13,6,836.57,0,12543.6,6,4,1,1
1,14,151.16,0,10568.18,5,6,0,0
38,12,199.05,0,11739.79,22,5,0,0
48,1,1768.93,0,18957.08,4,5,0,0
37,0,410.1,0,8368.08,1,4,1,1
25,10,1071.5,1,17446.42,3,4,2,2
31,2,706.88,0,5285.06,4,1,1,1
23,5,756.66,0,6827.73,4,0,1,1
9,6,215.96,0,13951.09,13,5,1,1
18,15,1129.88,1,14222.14,20,3,2,2
14,1,182.92,0,12609.92,18,6,0,0
6,2,736.76,0,8804.75,17,2,1,1
37,0,779.14,0,16572.52,11,3,1,1
22,10,1359.8,0,11969.34,4,4,2,2
41,14,1574.61,0,5554.76,15,1,0,0
51,13,1875.82,1,19836.84,1,0,0,0
7,11,788.01,1,17986.97,15,0,0,0
34,0,944.36,0,18419.56,8,3,1,1
31,2,935.47,0,17017.22,10,3,1,1
47,9,573.34,0,9918.8,2,2,0,0
23,5,699.39,1,5635.33,9,6,1,1
46,13,1333.32,1,12696.29,19,0,0,0
9,6,202.33,0,14677.44,5,6,1,1
30,14,1851.57,1,16446.27,12,5,0,0
17,7,650.32,0,6701.73,4,1,1,1
38,12,1624.89,0,8218.56,15,6,0,0
6,2,225.21,1,11780.64,9,0,1,1
22,10,1883.87,1,13132.57,2,5,2,2
19,9,963.16,0,8014.71,5,1,0,0
24,3,1100.71,0,17054.93,7,3,0,0
52,1,718.38,0,15783.04,4,4,0,0
48,1,2001.54,0,11749.62,13,5,0,0
10,9,967.01,0,5831.19,16,0,0,0
10,9,707.63,0,10190.35,16,2,0,0
20,4,3391.9,0,6877.55,9,1,2,2
47,9,1755.68,0,14880.99,19,3,0,0
46,13,227.07,1,16565.34,10,3,0,0
8,5,674.83,1,14407.46,20,4,1,1
18,15,2305.8,1,15329.2,20,3,2,2
9,6,377.22,0,17922.28,14,5,1,1
5,7,786.95,0,6592.76,23,4,1,1
9,6,206.41,0,19180.77,14,6,1,1
19,9,1953.56,0,7847.51,13,2,0,0
31,2,502.73,0,10898.63,15,6,1,1
37,0,145.34,0,18235.09,7,5,1,1
39,3,958.41,0,15912.62,21,0,0,0
36,13,1114.04,1,9329.03,11,5,0,0
26,4,3290.25,1,19626.24,16,3,2,2
37,0,279.66,0,12501.17,11,0,1,1
27,10,2637.81,1,18396.98,1,4,2,2
25,10,2321.15,0,17639.03,10,3,2,2
12,2,603.58,1,5249.55,10,4,1,1
21,8,4538.83,1,13953.64,21,3,2,2
18,15,728.24,1,12863.48,20,4,2,2
15,15,3199.95,1,7861.76,12,4,2,2
8,5,283.6,0,14172.17,10,3,1,1
49,14,1257.67,0,12175.56,23,5,0,0
22,10,2208.22,0,15813.87,10,5,2,2
6,2,919.1,1,9477.49,22,2,1,1
31,2,538.25,1,19017.28,9,0,1,1
17,7,912.6,0,17069.24,9,2,1,1
14,1,1909.59,0,16210.08,1,3,0,0
26,4,3369.23,0,14235.16,6,6,2,2
18,15,1424.0,0,9954.4,7,1,2,2
41,14,2115.36,0,7369.12,3,5,0,0
7,11,696.01,0,18619.05,15,0,0,0
46,13,923.28,1,19008.84,20,5,0,0
47,9,2090.28,0,18151.15,12,6,0,0
38,12,664.07,0,13149.51,9,6,0,0
13,6,252.34,0,7437.41,4,2,1,1
10,9,1572.84,0,13516.72,20,5,0,0
17,7,517.15,0,15038.84,5,2,1,1
15,15,1585.01,1,16306.35,4,5,2,2
24,3,1375.75,0,5931.86,9,2,0,0
0,7,595.91,1,15553.36,14,6,1,1
28,8,3082.36,1,7003.53,22,0,2,2
34,0,792.16,0,16360.26,14,3,1,1
35,1,1050.09,0,18758.67,6,6,0,0
44,11,397.14,0,11627.61,1,3,0,0
6,2,899.09,0,5834.54,6,0,1,1
36,13,1010.05,0,15849.2,16,6,0,0
40,11,134.02,0,5956.4,8,1,0,0
51,13,892.87,0,16487.42,2,4,0,0
17,7,954.47,0,10634.68,13,3,1,1
1,14,309.06,0,10895.88,21,1,0,0
39,3,1943.57,0,15786.41,23,4,0,0
15,15,2395.35,0,7827.21,17,2,2,2
8,5,850.04,0,5234.69,1,3,1,1
51,13,1265.11,0,5730.14,2,2,0,0
40,11,355.16,0,8512.42,12,3,0,0
25,10,1725.38,1,14903.19,10,2,2,2
36,13,2043.87,0,18673.66,13,3,0,0
6,2,1061.17,1,15070.14,21,0,1,1
23,5,346.51,0,13068.92,10,4,1,1
30,14,1856.63,0,19516.79,7,6,0,0
50,15,1456.54,0,18833.39,16,0,2,2
40,11,593.42,0,14043.83,2,2,0,0
33,11,494.56,0,9547.82,6,4,0,0
2,12,1904.88,1,15556.53,6,2,0,0
28,8,2675.41,1,9626.33,7,2,2,2
9,6,859.12,1,16424.43,16,4,1,1
23,5,572.47,0,7188.84,6,4,1,1
29,5,229.1,0,10697.6,17,2,1,1
27,10,3926.16,1,15853.37,15,1,2,2
37,0,228.06,0,7760.72,14,1,1,1
46,13,1956.81,1,16465.08,20,6,0,0
15,15,3320.77,1,12585.99,4,3,2,2
12,2,485.88,0,13274.65,1,4,1,1
26,4,4425.59,1,17197.36,0,1,2,2
10,9,1849.17,0,8614.53,13,4,0,0
34,0,746.78,0,19389.47,16,4,1,1
50,15,3827.14,0,14806.04,18,6,2,2
17,7,544.39,0,5141.75,1,5,1,1
8,5,816.56,0,17869.4,2,5,1,1
15,15,4730.93,1,13501.76,16,1,2,2
26,4,2752.19,1,18931.5,1,0,2,2
30,14,1786.59,0,13459.37,0,2,0,0
27,10,3619.38,1,19827.17,12,5,2,2
46,13,963.44,1,10108.89,16,0,0,0
25,10,3543.73,0,11758.25,19,1,2,2
23,5,734.6,0,6285.41,11,6,1,1
52,1,558.81,0,16758.35,9,3,0,0
37,0,198.53,0,11671.04,23,3,1,1
19,9,935.38,0,11120.66,3,0,0,0
14,1,1565.11,0,11207.15,2,1,0,0
18,15,2950.41,1,7542.53,23,3,2,2
41,14,359.2,1,9496.28,9,6,0,0
12,2,649.48,1,7032.34,11,6,1,1
17,7,489.31,0,17353.03,12,5,1,1
22,10,4477.81,0,9712.75,19,6,2,2
12,2,775.79,1,9204.5,10,2,1,1
44,11,1393.16,0,19295.07,11,0,0,0
21,8,867.64,1,16925.68,22,0,2,2
32,8,1523.83,1,11346.92,15,3,2,2
12,2,461.33,1,18805.88,2,6,1,1
11,0,912.64,0,14572.71,13,6,1,1
37,0,620.11,0,19754.12,3,3,1,1
27,10,898.34,1,8330.02,20,5,2,2
50,15,2167.41,1,15193.33,17,1,2,2
45,3,249.6,0,19425.92,16,5,0,0
28,8,2399.56,0,12243.89,23,5,2,2
13,6,145.85,0,15661.68,3,0,1,1
47,9,491.41,0,7402.04,10,6,0,0
0,7,273.48,0,11482.02,13,1,1,1
33,11,1178.01,0,15571.03,23,2,0,0
52,1,1620.9,0,10486.9,8,2,0,0
12,2,933.15,0,10829.59,14,4,1,1
34,0,696.77,1,15589.83,18,6,1,1
1,14,268.94,0,7745.67,19,0,0,0
8,5,218.87,1,7786.31,4,0,1,1
47,9,359.54,1,7806.48,17,5,0,0
37,0,503.46,0,10759.16,19,1,1,1
8,5,565.35,0,11657.78,16,2,1,1
50,15,611.52,1,9330.05,2,3,2,2
12,2,567.87,1,9018.33,18,5,1,1
36,13,859.4,1,11377.32,11,0,0,0
51,13,603.24,1,6304.75,7,0,0,0
11,0,639.91,0,14242.27,7,6,1,1
11,0,355.72,0,9854.8,6,2,1,1
26,4,5111.66,1,6428.38,9,5,2,2
49,14,559.57,0,17427.23,1,2,0,0
26,4,2341.31,1,14504.42,12,5,2,2
26,4,4590.08,1,19253.81,12,0,2,2
35,1,1338.76,0,17751.59,18,1,0,0
33,11,611.32,0,10066.33,12,2,0,0
31,2,952.19,1,5689.14,4,3,1,1
19,9,1032.7,0,11416.99,14,0,0,0
32,8,4768.94,1,6400.1,4,4,2,2
10,9,790.86,0,15491.62,8,4,0,0
3,12,426.82,1,13905.19,13,2,0,0
24,3,1803.8,0,11334.71,21,1,0,0
5,7,697.44,1,9700.27,15,6,1,1
49,14,185.72,0,14154.79,4,1,0,0
44,11,1886.59,0,11635.76,14,2,0,0
41,14,1171.85,0,19448.73,2,1,0,0
48,1,1151.7,0,14113.9,4,2,0,0
32,8,2835.26,1,16217.65,0,5,2,2
50,15,2120.68,1,14571.23,20,6,2,2
34,0,234.57,0,13525.71,16,3,1,1
6,2,105.07,0,8932.78,17,0,1,1
21,8,3904.86,1,11353.63,1,1,2,2
1,14,195.08,0,18813.87,2,4,0,0
14,1,1477.38,0,17697.02,17,4,0,0
23,5,519.09,0,9639.35,7,3,1,1
4,3,1322.59,1,19295.24,23,2,0,0
20,4,2281.98,1,18101.9,16,3,2,2
29,5,544.38,1,19625.76,0,6,1,1
37,0,557.0,1,10515.32,2,1,1,1
16,12,1345.84,0,17880.34,3,6,0,0
34,0,868.6,1,19405.13,7,1,1,1
23,5,383.09,0,15804.32,17,6,1,1
3,12,424.05,0,19721.21,2,0,0,0
28,8,1993.8,1,5119.54,2,4,2,2
21,8,3278.41,0,13875.36,9,6,2,2
15,15,519.19,1,8494.97,6,2,2,2
24,3,54.51,0,17735.09,20,4,0,0
50,15,2475.23,1,19954.39,3,5,2,2
18,15,2545.37,1,11876.87,8,2,2,2
30,14,198.58,0,11524.74,18,3,0,0
27,10,3825.23,0,9770.87,7,5,2,2
41,14,329.35,0,11990.83,7,1,0,0
33,11,620.59,0,6798.7,3,0,0,0
46,13,1622.19,1,6368.19,21,5,0,0
36,13,673.25,0,7608.02,11,3,0,0
15,15,2735.95,0,7096.9,14,6,2,2
15,15,1363.93,0,15294.28,1,1,2,2
20,4,546.0,1,18537.44,2,3,2,2
25,10,686.73,1,7519.84,4,5,2,2
17,7,131.17,0,7592.11,13,1,1,1
9,6,134.31,0,8686.77,5,6,1,1
6,2,174.76,0,11288.52,15,6,1,1
45,3,1530.37,0,13167.77,16,2,0,0
27,10,1554.21,1,13956.75,11,5,2,2
12,2,428.77,0,8491.43,8,3,1,1
50,15,3070.61,0,16055.9,3,6,2,2
17,7,1034.27,0,7605.68,18,2,1,1
11,0,130.42,0,19213.38,18,4,1,1
12,2,377.43,1,6353.86,4,3,1,1
6,2,407.66,0,17096.68,19,2,1,1
25,10,608.98,1,18758.36,22,1,2,2
14,1,1470.02,0,13790.25,16,2,0,0
47,9,2010.85,0,19409.93,9,6,0,0
37,0,742.94,1,10675.76,10,5,1,1
45,3,1801.55,0,13512.24,9,4,0,0
18,15,3310.92,1,7109.65,19,4,2,2
47,9,1630.26,0,15634.49,7,6,0,0
9,6,321.72,0,6016.92,23,0,1,1
51,13,889.99,0,7495.08,3,0,0,0
11,0,466.6,0,16830.95,15,3,1,1
15,15,2682.23,1,5501.19,20,3,2,2
14,1,372.2,0,15979.78,10,5,0,0
12,2,139.21,1,7474.96,2,2,1,1
25,10,4796.16,1,13311.69,5,0,2,2
32,8,911.67,1,13244.94,8,5,2,2
45,3,235.19,0,14376.36,4,1,0,0
44,11,1417.98,0,12103.56,6,2,0,0
31,2,862.84,0,14628.0,9,5,1,1
17,7,243.52,1,11596.11,5,4,1,1
46,13,1567.67,1,6285.61,7,3,0,0
18,15,756.94,1,12838.73,17,3,2,2
12,2,889.25,1,6184.33,21,3,1,1
41,14,1881.67,0,19235.92,16,5,0,0
41,14,961.09,0,11530.9,6,3,0,0
43,4,4979.55,1,6005.18,4,1,2,2
27,10,3075.43,1,5185.46,17,4,2,2
23,5,439.72,0,13819.01,19,3,1,1
38,12,1873.99,0,18168.4,3,4,0,0
6,2,250.03,1,14273.67,12,4,1,1
17,7,656.43,0,12128.27,22,0,1,1
28,8,1758.61,1,15442.74,11,6,2,2
13,6,336.78,0,14683.32,7,3,1,1
8,5,537.78,1,10608.65,14,0,1,1
14,1,1405.96,0,16707.75,16,2,0,0
44,11,1597.82,0,11846.73,18,4,0,0
34,0,569.63,1,6858.09,22,4,1,1
9,6,959.57,1,13270.01,7,3,1,1
26,4,3891.66,0,5411.76,5,3,2,2
44,11,1359.03,0,9036.25,5,6,0,0
45,3,1881.32,0,14017.13,16,1,0,0
21,8,4990.11,0,11357.1,7,6,2,2
33,11,641.82,0,14354.09,11,5,0,0
11,0,697.5,0,9477.14,3,0,1,1
26,4,1875.52,0,14841.79,15,1,2,2
15,15,4373.85,1,14000.5,9,6,2,2
45,3,1899.07,1,11278.49,10,4,0,0
7,11,1385.32,0,13019.53,23,4,0,0
32,8,4605.37,1,7717.04,21,0,2,2
26,4,4355.12,1,7746.03,15,2,2,2
50,15,1616.78,0,11307.09,10,0,2,2
28,8,4304.94,1,17995.9,11,3,2,2
6,2,590.89,1,10725.04,18,6,1,1
49,14,1922.62,1,19807.87,13,0,0,0
10,9,1027.01,0,7652.36,4,5,0,0
20,4,3665.2,1,16467.26,1,4,2,2
8,5,479.56,0,12161.0,2,0,1,1
37,0,949.19,0,12965.51,1,4,1,1
15,15,3508.14,1,6933.96,21,4,2,2
10,9,1589.64,0,9362.42,16,2,0,0
8,5,964.6,0,18520.76,19,2,1,1
5,7,319.46,0,6968.09,6,3,1,1
38,12,1520.6,0,10627.89,18,6,0,0
36,13,2054.08,1,14803.51,8,0,0,0
29,5,446.41,0,12115.95,1,5,1,1
24,3,801.21,0,12804.64,6,3,0,0
23,5,573.62,0,9240.6,19,5,1,1
7,11,1829.58,1,10368.83,15,0,0,0
6,2,716.6,0,8517.58,9,1,1,1
2,12,312.89,1,12675.58,21,1,0,0
13,6,307.32,0,17197.68,8,4,1,1
27,10,3513.73,1,16373.06,9,1,2,2
19,9,737.87,0,14327.11,0,4,0,0
10,9,908.4,1,9077.5,11,0,0,0
8,5,837.7,0,6987.67,22,3,1,1
12,2,665.25,0,10696.26,5,4,1,1
30,14,1701.97,0,11169.26,19,3,0,0
25,10,3801.18,1,16512.93,2,4,2,2
22,10,2968.45,1,6428.63,23,3,2,2
11,0,692.35,0,17585.5,23,4,1,1
47,9,1825.26,0,18041.23,19,0,0,0
27,10,686.28,1,14649.76,15,5,2,2
42,6,539.18,0,11706.02,7,5,1,1
39,3,759.04,1,13236.48,15,6,0,0
21,8,3124.2,1,11843.12,19,6,2,2
50,15,2100.52,0,13999.27,11,1,2,2
3,12,1445.49,0,10120.36,11,2,0,0
11,0,211.22,0,12386.33,9,4,1,1
44,11,305.56,0,8233.84,3,1,0,0
23,5,997.0,0,13832.17,22,1,1,1
30,14,61.22,0,13298.39,14,1,0,0
47,9,1232.49,0,6925.73,18,6,0,0
22,10,4393.61,1,14134.91,21,4,2,2
27,10,2351.72,1,11191.18,7,6,2,2
22,10,3856.57,1,8260.14,23,3,2,2
11,0,228.63,0,19627.69,19,4,1,1
22,10,989.2,0,12205.55,16,2,2,2
28,8,4156.18,1,5379.08,21,0,2,2
7,11,1410.27,0,9299.23,1,6,0,0
32,8,3527.19,1,17210.39,4,4,2,2
18,15,3336.22,0,12663.83,19,5,2,2
51,13,879.33,1,19637.34,9,1,0,0
20,4,3477.52,1,18051.77,17,1,2,2
11,0,604.19,0,16642.2,20,5,1,1
48,1,2017.42,0,6790.31,9,3,0,0
20,4,1308.9,0,5084.68,13,1,2,2
46,13,1896.89,0,16604.91,22,2,0,0
28,8,4095.27,1,6093.21,19,0,2,2
47,9,183.13,0,11238.97,10,0,0,0
15,15,3367.26,0,9403.62,12,3,2,2
39,3,1339.71,0,18567.45,16,3,0,0
27,10,5033.02,1,10788.14,19,1,2,2
11,0,813.58,1,5657.77,23,5,1,1
52,1,410.77,0,13069.62,6,6,0,0
33,11,1580.65,0,17431.23,20,5,0,0
41,14,913.67,0,6312.81,20,0,0,0
48,1,1792.68,0,11766.88,5,1,0,0
0,7,186.08,0,15804.29,13,6,1,1
14,1,1713.2,0,16803.38,23,6,0,0
13,6,470.25,0,12109.82,19,2,1,1
0,7,375.28,0,9470.85,7,2,1,1
41,14,133.37,0,10911.23,11,4,0,0
37,0,485.15,0,12688.29,2,2,1,1
20,4,1050.54,1,13509.39,5,0,2,2
14,1,1291.99,0,7961.26,17,1,0,0
49,14,250.95,1,18501.78,15,5,0,0
21,8,3169.78,0,10467.4,15,3,2,2
25,10,4206.73,0,14612.58,13,2,2,2
27,10,2509.85,0,9582.08,11,3,2,2
14,1,1600.33,0,13079.27,3,4,0,0
52,1,1914.73,0,14474.4,23,3,0,0
40,11,1135.4,0,19980.92,18,5,0,0
34,0,317.36,0,15998.4,20,5,1,1
35,1,685.19,0,8583.21,4,3,0,0
30,14,365.26,0,13487.19,21,1,0,0
37,0,296.21,0,5942.92,23,6,1,1
7,11,874.21,0,18223.28,7,2,0,0
26,4,1699.87,0,7607.75,20,1,2,2
14,1,847.68,0,12745.58,12,0,0,0
12,2,114.03,1,11598.48,11,0,1,1
20,4,1095.48,1,14030.3,2,0,2,2
22,10,1045.42,1,12185.32,21,6,2,2
23,5,295.54,0,13885.21,5,3,1,1
41,14,406.0,0,12749.61,20,0,0,0
24,3,1789.62,0,14097.89,19,6,0,0
8,5,232.22,0,16512.35,15,5,1,1
47,9,1504.05,0,13948.0,21,6,0,0
41,14,82.67,0,18640.09,7,2,0,0
16,12,1000.38,0,5585.55,13,2,0,0
35,1,1443.22,0,13089.29,16,1,0,0
29,5,922.42,0,11434.34,21,2,1,1
2,12,309.65,0,8487.69,12,3,0,0
29,5,281.42,0,16841.34,9,2,1,1
45,3,1376.17,0,9738.53,16,3,0,0
43,4,4280.94,1,10484.66,3,5,2,2
33,11,1139.57,0,7680.79,21,3,0,0
21,8,2133.84,1,16036.74,17,1,2,2
42,6,878.03,0,12625.15,3,3,1,1
46,13,830.73,1,17065.54,17,0,0,0
23,5,148.9,0,6200.6,15,6,1,1
0,7,661.07,1,19452.95,23,0,1,1
9,6,290.37,0,17058.65,5,3,1,1
18,15,1145.51,1,8588.85,6,1,2,2
17,7,689.41,0,8004.66,5,2,1,1
14,1,1483.3,0,13743.99,23,2,0,0
33,11,1890.85,0,8916.61,8,4,0,0
14,1,658.32,0,12699.3,16,0,0,0
26,4,2431.19,1,12254.45,17,0,2,2
42,6,872.66,0,8867.3,10,0,1,1
50,15,2286.7,1,13034.78,20,1,2,2
35,1,1451.28,0,6140.43,8,3,0,0
7,11,426.44,0,18953.83,15,2,0,0
18,15,1514.68,0,8438.11,15,1,2,2
3,12,1909.22,0,14951.36,19,3,0,0
51,13,745.26,0,18471.82,0,1,0,0
43,4,1522.41,1,5812.22,8,2,2,2
34,0,922.61,0,11857.94,15,1,1,1
22,10,556.61,1,10691.42,22,0,2,2
20,4,2812.48,0,12070.18,10,4,2,2
31,2,301.1,1,10584.64,10,0,1,1
49,14,1709.99,0,17061.31,8,4,0,0
44,11,1686.88,0,12094.81,13,6,0,0
1,14,1518.15,0,13432.08,5,6,0,0
10,9,447.06,1,17584.58,1,5,0,0
43,4,2145.77,1,17150.24,14,2,2,2
11,0,908.59,0,13638.42,0,3,1,1
28,8,1967.01,1,16621.17,17,5,2,2
28,8,3105.27,1,7513.63,2,6,2,2
